id,名称,种类,稀有度,消耗,目标,基础效果,第一次强化,第二次强化,使用后区域
card.smash,挥砸,攻击,灰,1行动力,敌人,造成7伤害,造成10伤害,造成14伤害,弃牌堆
card.dodge,闪躲,防护,灰,1行动力,自身,获得6防护,获得9防护,无,弃牌堆
card.call-ally,呼唤队友,技能,灰,2行动力,无,抽2张牌,消耗降为1,无,弃牌堆
card.anger,愤怒,能力,灰,3行动力,自身,每回合第一张攻击牌伤害翻倍1次,消耗降为2,无,消耗区
card.throw-rock,投掷石头,攻击,灰,1行动力,敌人,造成10伤害,造成14伤害,造成20伤害,弃牌堆
card.sand-toss,泼沙,技能,灰,1行动力,敌人,造成3伤害并施加1点虚弱,造成3伤害并施加2点虚弱,无,弃牌堆
card.stab,刺击,攻击,灰,1能量剂,敌人,造成7伤害,造成10伤害,造成14伤害,弃牌堆
card.hunter-dodge,闪躲,防护,灰,1能量剂,自身,获得6防护,获得9防护,无,弃牌堆
card.trap-setup,陷阱布置,技能,灰,2能量剂,敌人,造成4伤害并获得1点虚弱,造成6伤害并获得2点虚弱,无,弃牌堆
card.conceal,隐匿,能力,灰,3能量剂,自身,每回合第1张攻击牌不消耗能量剂,每回合前2张攻击牌不消耗能量剂,无,消耗区
