id,名称,等级,生命,攻击流程,动画,机制,备注
enemy.dirty-dog,脏犬,1,22,"扑咬5→撕扯7",暂无,循环攻击,第一层普通敌人
enemy.sick-dog,病犬,1,24,攻击6,暂无,病态扑咬,第一层前四个进入节点候选
enemy.wanderer,流浪的人,1,26,攻击6,暂无,简陋挥击,第一层前四个进入节点候选
enemy.dried-person,干瘪的人,1,28,攻击7,暂无,枯臂挥击,第一层前四个进入节点候选
enemy.meat-mass,怪异的肉团,1,32,攻击8,暂无,肉团撞击,第一层普通敌人
enemy.sand-worm,小沙虫,1,30,攻击9,暂无,沙下突袭,第一层普通敌人
enemy.elite-barking-dog,怖吠犬,1,58,攻击12,暂无,恐怖扑咬,第一层精英敌人
enemy.elite-sand-worm,沙虫,1,70,攻击14,暂无,巨口吞噬,第一层精英敌人
enemy.elite-hungry-person,饥饿的人,1,64,攻击13,暂无,饥饿挥击,第一层精英敌人
enemy.rotten-person,溃烂的人,2,34,"挥击8→恢复4",暂无,攻击后再生,第二层普通敌人
enemy.armed-guard,武装护卫,3,50,"防护9→攻击11→攻击7并防护5",暂无,攻防交替,第三层普通敌人
enemy.strange-statue,诡异石像,4,68,"防护12→攻击14→攻击20",暂无,高伤害脉冲,第四层普通敌人
enemy.sand-messenger,带来风沙的信使,3,60,"攻击10→防护10→攻击15",暂无,特殊事件战斗,胜利获得沾染血迹的信
