id,名称,类别,选项,效果,对应敌人,备注
event.rising-sand,风沙渐起,特殊事件,拾取沙光,获得沙光,无,特殊事件收集品
event.rising-sand,风沙渐起,特殊事件,支付代价,"消耗12生命与100代币;获得沾染血迹的信",无,未进一步规划消耗数值
event.rising-sand,风沙渐起,特殊事件,进入战斗,不消耗生命与代币,带来风沙的信使,胜利后获得沾染血迹的信
event.warm-fire,温暖火光,随机事件,靠近火光,恢复50%最大生命值,无,单次恢复
event.warm-fire,温暖火光,随机事件,整理行囊,选择一张牌并强化,无,玩家选牌
event.warm-fire,温暖火光,随机事件,燃起焰光,选择一张牌并随机变化,无,玩家选牌
event.piece-truth,拼凑真相,固定事件,拨开风沙,持有信件时记录改变第四层首领条件,无,第四层固定事件
event.piece-truth,拼凑真相,固定事件,头昏脑胀,无事发生,无,无
event.sand-blind,沙尘迷眼,随机事件,穿越风沙,失去12生命并获得随机收集品,无,无
event.sand-blind,沙尘迷眼,随机事件,躲避风沙,失去4生命并强化一张牌,无,无
event.hunger-spreads,饥饿扩散,随机事件,分发食物,支付200代币并获得本局敏锐1,无,本局持续
event.hunger-spreads,饥饿扩散,随机事件,暴力驱赶,失去20生命并获得本局强劲1,无,本局持续
event.hunger-spreads,饥饿扩散,随机事件,视而不见,无事发生,无,无
